sample_id,target_class,class_label,image_path,rssi_dbm,snr_db,carrier_freq_ghz,bandwidth_mhz,doppler_shift_khz,phase_variance_rad,path_loss_db,spectral_kurtosis,papr_db,edge_density,aspect_ratio,spatial_entropy,color_moment_r_mean,color_moment_g_mean,color_moment_b_mean,color_moment_r_std,color_moment_g_std,color_moment_b_std,texture_contrast,texture_homogeneity,texture_energy
1,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0001_uav_drone.png,-59.27,15.95,2.409,40.0,6.442,0.4423,88.06,4.561,7.87,0.6343,0.909,4.755,174.26,187.25,167.14,39.43,40.55,43.78,0.506,0.4296,0.3859
2,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0002_uav_drone.png,-47.92,18.08,2.408,20.0,5.799,0.3719,80.25,4.538,10.72,0.6789,0.893,6.129,141.69,178.13,160.6,34.03,46.18,52.43,0.7371,0.4707,0.3319
3,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0003_uav_drone.png,-70.13,13.62,2.409,40.0,4.903,0.3296,82.81,5.84,9.57,0.7515,1.111,5.717,150.65,152.38,206.49,40.93,42.54,55.08,0.6302,0.5468,0.3678
4,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0004_uav_drone.png,-67.71,16.2,5.809,20.0,5.683,0.4171,91.39,2.318,9.49,0.687,0.984,5.837,130.19,171.7,195.36,50.87,41.89,43.15,0.6698,0.5532,0.3697
5,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0005_uav_drone.png,-64.91,18.55,5.793,20.0,5.701,0.3953,86.04,4.918,8.06,0.7819,0.985,4.738,165.18,169.07,185.66,44.72,44.0,49.29,0.5178,0.4046,0.4342
6,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0006_uav_drone.png,-62.1,9.81,2.391,40.0,4.699,0.4046,83.81,5.162,7.1,0.7714,1.11,6.116,146.36,196.04,168.97,45.52,58.14,42.06,0.6634,0.488,0.3198
7,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0007_uav_drone.png,-70.53,16.77,5.809,40.0,1.836,0.3889,76.69,4.808,9.17,0.7635,1.083,6.346,198.09,170.13,186.91,33.36,52.14,55.8,0.6333,0.5294,0.423
8,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0008_uav_drone.png,-60.76,19.89,2.411,20.0,4.603,0.5693,84.84,3.89,9.29,0.602,1.114,6.263,147.69,189.45,196.19,46.93,56.38,46.53,0.6446,0.4088,0.3011
9,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0009_uav_drone.png,-62.42,17.86,5.797,20.0,5.847,0.6388,82.56,3.653,8.46,0.603,1.137,5.817,157.94,173.14,201.11,39.29,49.66,54.27,0.6858,0.4059,0.3192
10,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0010_uav_drone.png,-58.09,16.87,5.813,20.0,3.504,0.4247,75.14,5.594,9.17,0.7666,1.146,5.249,145.93,182.73,197.71,45.09,68.12,51.43,0.8336,0.5563,0.3891
11,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0011_uav_drone.png,-63.73,19.54,5.769,20.0,7.2,0.4168,78.79,3.233,8.93,0.6468,1.03,5.443,154.98,198.41,191.93,45.3,37.37,62.33,0.9043,0.5891,0.3997
12,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0012_uav_drone.png,-61.92,18.27,5.798,20.0,4.217,0.3566,81.31,5.755,9.54,0.584,0.98,5.61,150.2,201.48,196.07,34.43,50.51,60.73,0.8232,0.3585,0.3209
13,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0013_uav_drone.png,-55.03,13.67,2.386,20.0,4.484,0.401,93.23,5.179,7.38,0.5764,1.007,5.002,140.5,198.15,209.85,41.23,42.21,48.35,0.9548,0.5124,0.4046
14,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0014_uav_drone.png,-63.11,16.74,5.823,40.0,5.438,0.5469,74.57,7.546,6.16,0.6679,1.091,5.912,150.66,171.88,182.6,38.46,50.1,50.14,0.6507,0.552,0.3684
15,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0015_uav_drone.png,-57.53,19.02,2.356,40.0,6.467,0.277,74.68,4.464,9.89,0.8042,0.967,5.637,163.92,175.18,203.96,38.86,50.69,46.56,0.8054,0.4583,0.3132
16,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0016_uav_drone.png,-51.48,20.76,2.404,40.0,3.834,0.5126,86.75,5.887,9.25,0.679,0.912,5.83,149.84,189.63,187.79,37.05,43.07,50.48,0.6636,0.4142,0.3646
17,UAV_Drone,0,C:\Users\BHAKTI\OneDrive\Desktop\Quantum_Radio_Image_DataFusion\backend\data_storage\sample_images\sample_0017_uav_drone.png,-60.65,14.47,5.818,40.0,4.52,0.5123,79.14,4.469,10.13,0.517,1.208,5.679,159.93,164.76,189.28,49.63,49.63,50.96,0.7289,0.3644,0.2994
